ForeignKeyName,ParentSchema,ParentTable,ParentColumn,ReferencedSchema,ReferencedTable,ReferencedColumn,OnDelete,OnUpdate
FK__costax__cptaxacc__7FAE3378,dbo,costax,cptaxacc2,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cstaxacc__01967BEA,dbo,costax,cstaxacc1,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cstaxacc__028AA023,dbo,costax,cstaxacc2,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costax__cstaxacc__037EC45C,dbo,costax,cstaxacc3,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costen__cptaxacc__0472E895,dbo,costen,cptaxacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__costen__cstaxacc__05670CCE,dbo,costen,cstaxacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glabal__cacctid__065B3107,dbo,glabal,cacctid,dbo,glacct,cacctid,CASCADE,NO_ACTION
FK__glabalh__cacctid__074F5540,dbo,glabalh,cacctid,dbo,glacct,cacctid,CASCADE,NO_ACTION
FK__glacct__ceafocia__3277AAB8,dbo,glacct,ceafociacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__gladis__cacctid__08437979,dbo,gladis,cacctid,dbo,glacct,cacctid,CASCADE,NO_ACTION
FK__gladis__cdistacc__09379DB2,dbo,gladis,cdistacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glanot__cacctid__0A2BC1EB,dbo,glanot,cacctid,dbo,glacct,cacctid,CASCADE,NO_ACTION
FK__glbatc__creaccti__0B1FE624,dbo,glbatc,creacctid,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glbugt__cacctid__0C140A5D,dbo,glbugt,cacctid,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glpdis__cacctid__0D082E96,dbo,glpdis,cacctid,dbo,glacct,cacctid,CASCADE,NO_ACTION
FK__glpdis__cdistacc__0DFC52CF,dbo,glpdis,cdistacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsegv__capacc__30C46C70,dbo,glsegv,capacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsegv__ccashacc__31B890A9,dbo,glsegv,ccashacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsegv__cdfrexpa__4C377CBB,dbo,glsegv,cdfrexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsegv__cfbacc__0EF07708,dbo,glsegv,cfbacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsegv__cfcacc__32ACB4E2,dbo,glsegv,cfcacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsegv__cintfbac__0FE49B41,dbo,glsegv,cintfbacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsyst__cdefafba__10D8BF7A,dbo,glsyst,cdefafbacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsyst__ceafocia__3183867F,dbo,glsyst,ceafociacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsyst__cprmrfba__11CCE3B3,dbo,glsyst,cprmrfbacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsyst__creaccti__12C107EC,dbo,glsyst,creacctid,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsyst__ctmprfba__13B52C25,dbo,glsyst,ctmprfbacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glsyst__ctrnadja__345FF32A,dbo,glsyst,ctrnadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__glunje__cacctid__169198D0,dbo,glunje,cacctid,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__iciadj__cadjacc__1785BD09,dbo,iciadj,cadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__iciadjh__cadjacc__1879E142,dbo,iciadjh,cadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
