SchemaName,ProcedureName,create_date,modify_date
dbo,vsp_rpt_apracq,2017-04-14 09:46:28.950,2017-04-14 09:46:28.950
dbo,vsp_rpt_aprchk,2017-04-14 09:46:28.973,2017-04-14 09:46:28.973
dbo,vsp_rpt_aprcri,2017-04-14 09:46:28.993,2017-04-14 09:46:28.993
dbo,vsp_rpt_apsdsc,2017-04-14 09:46:29.010,2017-04-14 09:46:29.010
dbo,vsp_rpt_apsumm,2017-04-14 09:46:29.030,2017-04-14 09:46:29.030
dbo,vsp_rpt_aptaxa,2017-04-14 09:46:29.050,2017-04-14 09:46:29.050
dbo,vsp_rpt_aptogl,2017-04-14 09:46:29.070,2017-04-14 09:46:29.070
dbo,vsp_rpt_apunap,2017-04-14 09:46:29.087,2017-04-14 09:46:29.087
dbo,vsp_rpt_apvact,2017-04-14 09:46:29.103,2017-04-14 09:46:29.103
dbo,vsp_rpt_apvadr,2017-04-14 09:46:29.120,2017-04-14 09:46:29.120
dbo,vsp_rpt_apvchk,2017-04-14 09:46:29.140,2017-04-14 09:46:29.140
dbo,vsp_rpt_apvend,2017-04-14 09:46:29.160,2017-04-14 09:46:29.160
dbo,vsp_rpt_apvglr,2017-04-14 09:46:29.177,2017-04-14 09:46:29.177
dbo,vsp_rpt_apvn99,2017-04-14 09:46:29.193,2017-04-14 09:46:29.193
dbo,vsp_rpt_apvnpf,2017-04-14 09:46:29.210,2017-04-14 09:46:29.210
dbo,vsp_rpt_aragng,2017-04-14 09:46:29.240,2021-04-08 15:16:22.820
dbo,vsp_rpt_aragng_new,2011-06-15 14:49:40.047,2019-06-03 10:02:36.510
dbo,vsp_rpt_arbkmr,2017-04-14 09:46:29.260,2017-04-14 09:46:29.260
dbo,vsp_rpt_arcact,2017-04-14 09:46:29.277,2017-04-14 09:46:29.277
dbo,vsp_rpt_arcadr,2017-04-14 09:46:29.293,2017-04-14 09:46:29.293
dbo,vsp_rpt_arcash,2017-04-14 09:46:29.313,2017-04-18 15:42:35.400
dbo,vsp_rpt_arcomm,2017-04-14 09:46:29.333,2017-04-14 09:46:29.333
dbo,vsp_rpt_arcont,2017-04-14 09:46:29.350,2017-04-14 09:46:29.350
dbo,vsp_rpt_arcpos,2017-04-14 10:23:10.870,2017-04-19 16:09:39.277
dbo,vsp_rpt_arcred,2017-04-14 09:46:29.367,2017-04-14 09:46:29.367
dbo,vsp_rpt_arctrs,2017-04-14 09:46:29.400,2017-04-14 09:46:29.400
dbo,vsp_rpt_arctsm,2017-04-14 09:46:34.667,2017-04-14 09:46:34.667
dbo,vsp_rpt_arcupf,2017-04-14 09:46:29.420,2017-04-14 09:46:29.420
dbo,vsp_rpt_arcust,2017-04-14 09:46:29.440,2017-04-14 09:46:29.440
dbo,vsp_rpt_ardpst,2017-04-14 09:46:29.460,2017-04-14 09:46:29.460
dbo,vsp_rpt_arepay,2017-04-14 09:46:35.240,2017-04-14 09:46:35.240
dbo,vsp_rpt_arfbal,2017-04-14 09:46:29.480,2017-04-14 09:46:29.480
dbo,vsp_rpt_arfinc,2017-04-14 09:46:29.500,2017-04-14 09:46:29.500
dbo,vsp_rpt_arfrtl,2017-04-14 09:46:29.517,2017-04-14 09:46:29.517
dbo,vsp_rpt_arfrtr,2017-04-14 09:46:29.533,2017-04-14 09:46:29.533
dbo,vsp_rpt_argnls,2017-04-14 09:46:29.553,2017-04-14 09:46:29.553
dbo,vsp_rpt_arinvc,2017-04-14 09:46:29.583,2019-05-27 10:04:28.907
dbo,vsp_rpt_arinvc_bu30Jan13,2011-09-26 19:25:11.643,2013-08-20 08:15:51.593
dbo,vsp_rpt_aritrs,2017-04-14 09:46:29.603,2017-04-14 09:46:29.603
dbo,vsp_rpt_arjrnl,2017-04-14 10:22:42.337,2017-04-14 10:22:42.337
dbo,vsp_rpt_arline,2017-04-14 09:46:29.630,2017-04-14 09:46:29.630
dbo,vsp_rpt_armemo,2017-04-14 09:46:29.650,2017-04-14 09:46:29.650
dbo,vsp_rpt_aropcr,2017-04-14 09:46:29.677,2017-04-14 09:46:29.677
dbo,vsp_rpt_arpkls,2017-04-14 10:26:04.000,2017-04-14 10:26:04.000
dbo,vsp_rpt_arpmtd,2017-04-14 09:46:29.703,2017-04-14 09:46:29.703
dbo,vsp_rpt_arprft,2017-04-14 09:46:29.723,2017-04-14 09:46:29.723
dbo,vsp_rpt_arpycd,2017-04-14 09:46:29.743,2017-04-14 09:46:29.743
dbo,vsp_rpt_arrcpt,2017-04-14 09:46:29.767,2017-04-14 09:46:29.767
dbo,vsp_rpt_arrcri,2017-04-14 09:46:29.787,2017-04-14 09:46:29.787
dbo,vsp_rpt_arrevr,2017-04-14 09:46:35.120,2017-04-14 09:46:35.120
dbo,vsp_rpt_arrevs,2017-04-14 09:46:34.983,2017-04-14 09:46:34.983
dbo,vsp_rpt_arrfnd,2017-04-14 09:46:29.807,2017-04-14 09:46:29.807
dbo,vsp_rpt_arrtrs,2017-04-14 09:46:35.003,2017-04-14 09:46:35.003
dbo,vsp_rpt_arsctr,2019-07-02 11:26:26.837,2019-07-02 11:26:26.837
dbo,vsp_rpt_arslip,2017-04-14 09:46:29.833,2017-04-14 09:46:29.833
dbo,vsp_rpt_arslpf,2017-04-14 09:46:29.853,2017-04-14 09:46:29.853
dbo,vsp_rpt_arslpn,2017-04-14 09:46:29.870,2017-04-14 09:46:29.870
dbo,vsp_rpt_arsrmk,2017-04-14 09:46:29.887,2017-04-14 09:46:29.887
dbo,vsp_rpt_arstat,2017-04-14 09:46:29.910,2017-04-14 09:46:29.910
dbo,vsp_rpt_arstax,2017-04-14 09:46:29.930,2017-04-14 09:46:29.930
dbo,vsp_rpt_arstmt,2017-04-14 09:46:29.960,2019-07-26 05:58:49.657
dbo,vsp_rpt_arstmt_ backup 29062012,2011-08-01 08:02:26.310,2013-08-20 08:15:50.483
dbo,vsp_rpt_arstmt_auto,2019-06-28 07:36:24.707,2019-06-28 07:43:31.943
dbo,vsp_rpt_arstmt_auto_bu28Jun9,2017-08-18 08:18:51.247,2019-06-28 07:35:54.243
dbo,vsp_rpt_arstmt_auto_v7,2013-07-06 13:12:15.677,2017-08-18 08:15:01.817
dbo,vsp_rpt_arstmt_bu,2011-07-29 05:50:57.373,2013-08-20 08:15:50.363
dbo,vsp_rpt_arstmt_bu21Feb13,2012-09-26 08:23:34.167,2013-08-20 08:15:50.293
dbo,vsp_rpt_arstmt_TEST,2020-08-31 14:23:06.607,2020-08-31 14:24:16.380
dbo,vsp_rpt_arsumm,2017-04-14 09:46:29.993,2017-04-14 09:46:29.993
dbo,vsp_rpt_artaxa,2017-04-14 09:46:30.017,2017-04-14 09:46:30.017
dbo,vsp_rpt_artogl,2017-04-14 09:46:30.033,2017-04-14 09:46:30.033
dbo,vsp_rpt_arvrev,2017-04-14 09:46:35.020,2017-04-14 09:46:35.020
dbo,vsp_rpt_brbank,2017-04-14 09:46:30.053,2017-04-14 09:46:30.053
dbo,vsp_rpt_brbkpf,2017-04-14 09:46:30.070,2017-04-14 09:46:30.070
dbo,vsp_rpt_brcchk,2017-04-14 09:46:30.097,2017-04-14 09:46:30.097
dbo,vsp_rpt_brcdis,2017-04-14 09:46:30.113,2017-04-14 09:46:30.113
dbo,vsp_rpt_brcupf,2017-04-14 09:46:30.130,2017-04-14 09:46:30.130
dbo,vsp_rpt_brcurr,2017-04-14 09:46:30.147,2017-04-14 09:46:30.147
dbo,vsp_rpt_bricnv,2017-04-14 09:46:35.307,2017-04-14 09:46:35.307
dbo,vsp_rpt_brimpt,2017-04-14 09:46:35.290,2017-04-14 09:46:35.290
dbo,vsp_rpt_britrs,2017-04-14 09:46:35.273,2017-04-14 09:46:35.273
dbo,vsp_rpt_brlist,2017-04-14 09:46:30.163,2017-04-14 09:46:30.163
dbo,vsp_rpt_brochk,2017-04-14 09:46:30.187,2017-04-14 09:46:30.187
dbo,vsp_rpt_brodis,2017-04-14 09:46:30.207,2017-04-14 09:46:30.207
dbo,vsp_rpt_brposp,2017-04-14 09:46:30.223,2022-04-04 16:33:30.717
dbo,vsp_rpt_brrcrd,2017-04-14 09:46:30.243,2017-04-14 09:46:30.243
dbo,vsp_rpt_brrcrr,2017-04-14 09:46:30.260,2017-04-14 09:46:30.260
