SchemaName,TableName,IndexName,IndexType,is_unique,is_primary_key,IndexColumns
dbo,aprcri,PK__aprcri__D3DF6FB94CF5691D,CLUSTERED,1,1,"cvendno, cinvno"
dbo,apvacb,apvacb_xchkno,NONCLUSTERED,0,0,"cbankno, cchkno"
dbo,apvacb,apvacb_xchkuid,NONCLUSTERED,0,0,cchkuid
dbo,apvacb,apvacb_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apvacb,PK__apvacb__2CDD98A62A363CC5,CLUSTERED,1,1,cuid
dbo,apvact,apvact_xdate,NONCLUSTERED,0,0,ddate
dbo,apvact,apvact_xvendno,NONCLUSTERED,0,0,cvendno
dbo,apvact,PK__apvact__2CDD98A639788055,CLUSTERED,1,1,cuid
dbo,apvadr,apvadr_xvendcomp,NONCLUSTERED,0,0,"cvendno, ccompany"
dbo,apvadr,apvadr_xvendphone,NONCLUSTERED,0,0,"cvendno, cphone"
dbo,apvadr,apvadr_xvendzip,NONCLUSTERED,0,0,"cvendno, czip"
dbo,apvadr,PK__apvadr__CFD2261D44EA3301,CLUSTERED,1,1,"cvendno, ctype, caddrno"
dbo,apvapp,apvapp_xchkno,NONCLUSTERED,0,0,"cbankno, cchkno"
dbo,apvapp,apvapp_xchkuid,NONCLUSTERED,0,0,cchkuid
dbo,apvapp,apvapp_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apvapp,PK__apvapp__2CDD98A6542C7691,CLUSTERED,1,1,cuid
dbo,apvark,PK__apvark__2CDD98A66C040022,CLUSTERED,1,1,cuid
dbo,apvchk,apvchk_xcheck,NONCLUSTERED,0,0,dcheck
dbo,apvchk,apvchk_xchkno,NONCLUSTERED,0,0,"cbankno, cchkno"
dbo,apvchk,apvchk_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apvchk,apvchk_xpayto,NONCLUSTERED,0,0,cpayto
dbo,apvchk,apvchk_xtrf1,NONCLUSTERED,0,0,"ctogl, dvoid, cbankno, cchkno"
dbo,apvchk,apvchk_xvendno,NONCLUSTERED,0,0,cvendno
dbo,apvchk,apvchk_xvoid,NONCLUSTERED,0,0,dvoid
dbo,apvchk,PK__apvchk__2CDD98A672B0FDB1,CLUSTERED,1,1,cuid
dbo,apvcnt,apvcnt_xuidvend,NONCLUSTERED,0,0,cuid
dbo,apvcnt,PK__apvcnt__2CDD98A602E7657A,CLUSTERED,1,1,cuid
dbo,apvend,apvend_xbuyer,NONCLUSTERED,0,0,"cbuyer, cvendno"
dbo,apvend,apvend_xclass,NONCLUSTERED,0,0,"cclass, cvendno"
dbo,apvend,apvend_xcompany,NONCLUSTERED,0,0,ccompany
dbo,apvend,apvend_xcompany2,NONCLUSTERED,0,0,ccompany2
dbo,apvend,apvend_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apvend,apvend_xemail,NONCLUSTERED,0,0,cemail
dbo,apvend,apvend_xfname,NONCLUSTERED,0,0,"cfname, clname, cvendno"
dbo,apvend,apvend_xindustry,NONCLUSTERED,0,0,"cindustry, cvendno"
dbo,apvend,apvend_xlname,NONCLUSTERED,0,0,"clname, cfname, cvendno"
dbo,apvend,apvend_xphone1,NONCLUSTERED,0,0,cphone1
dbo,apvend,apvend_xstate,NONCLUSTERED,0,0,"cstate, czip, cvendno"
dbo,apvend,apvend_xstatus,NONCLUSTERED,0,0,cstatus
dbo,apvend,apvend_xzip,NONCLUSTERED,0,0,"czip, cvendno"
dbo,apvend,PK__apvend__45F96A5409946309,CLUSTERED,1,1,cvendno
