SchemaName,ViewName,create_date,modify_date
dbo,vm_mk_dash1_4,2014-06-13 08:50:19.693,2014-06-13 13:58:35.690
dbo,vm_mk_dash1_5,2014-06-19 10:24:36.377,2014-06-19 10:42:08.527
dbo,vm_mk_Dash2_GroupSales,2014-05-26 08:35:55.080,2014-05-26 11:13:55.243
dbo,vm_mk_DashFast,2017-10-06 13:02:40.267,2017-10-06 13:18:03.653
dbo,vm_mk_deleteme,2017-07-04 09:07:49.220,2017-07-18 10:19:57.833
dbo,vm_mk_deliveriesregion1,2014-04-07 10:57:13.743,2014-04-07 11:23:32.780
dbo,vm_mk_deliveryandvalue,2014-05-14 09:16:38.300,2014-05-14 11:15:08.830
dbo,vm_mk_deliveryregion,2014-04-07 10:59:37.830,2014-04-07 11:23:52.343
dbo,vm_mk_deliveryregionA,2014-04-07 11:02:48.940,2014-04-07 11:24:07.550
dbo,vm_mk_delme_comp,2016-01-07 12:51:37.397,2016-01-07 12:59:57.417
dbo,vm_mk_Delme_NewRecruis,2015-10-29 13:48:58.133,2015-10-29 13:48:58.133
dbo,vm_mk_Diary2020,2020-09-08 08:12:07.850,2020-10-26 13:15:54.517
dbo,vm_mk_DownlineReport,2016-10-28 11:26:03.857,2016-11-07 07:48:08.223
dbo,vm_mk_Exp_trsn,2015-05-14 12:27:34.630,2015-05-14 12:27:34.630
dbo,vm_mk_Explode1,2015-05-14 10:32:11.090,2015-05-14 11:34:14.810
dbo,vm_mk_Explode2,2015-05-15 11:39:01.310,2015-05-18 13:04:45.603
dbo,vm_mk_Faststart,2017-05-16 07:20:59.503,2017-05-16 07:24:41.617
dbo,vm_mk_fastway,2014-03-03 13:40:25.680,2020-12-08 08:49:18.387
dbo,vm_mk_fastway_data,2014-03-03 09:04:07.267,2017-04-20 15:27:44.227
dbo,vm_mk_FastwayInvoices,2014-03-04 09:42:27.680,2020-10-22 08:03:10.103
dbo,vm_mk_firstDate_Item,2020-06-11 12:25:28.250,2020-06-11 13:02:25.950
dbo,vm_mk_FirstOrder,2019-07-08 13:01:27.983,2019-07-08 13:40:49.257
dbo,vm_mk_firstOrder_Value,2019-07-08 13:23:14.203,2019-07-08 14:38:13.327
dbo,vm_mk_forecast,2014-03-05 10:53:45.167,2014-03-05 11:06:43.880
dbo,vm_mk_ForecastsCompLevel,2015-03-09 13:24:19.643,2015-03-09 13:27:55.270
dbo,vm_mk_FreeitemInvoiced,2014-12-03 09:37:28.917,2014-12-04 10:13:22.340
dbo,vm_mk_FreeKititems,2014-12-03 08:18:07.463,2014-12-03 10:56:04.803
dbo,vm_MK_FS_Gift_Tracking,2016-05-17 10:45:54.467,2016-05-17 10:45:54.467
dbo,vm_mk_FS_Gifts,2016-05-16 14:17:41.903,2018-09-07 11:01:09.090
dbo,vm_mk_FS_RecKitDate,2016-04-13 07:46:41.303,2019-07-09 07:57:38.580
dbo,vm_mk_FS_Recruits,2016-04-13 07:41:10.727,2019-07-09 07:57:40.633
dbo,vm_mk_FS_Sponpay,2016-06-09 09:23:11.700,2016-06-09 09:25:16.477
dbo,vm_mk_FS_Track_Online,2020-03-13 07:55:11.103,2020-03-13 08:31:21.663
dbo,vm_mk_FS_Tracking,2016-04-13 07:56:48.333,2021-02-05 10:46:14.383
dbo,vm_mk_FutCRF,2016-08-05 12:14:42.227,2016-08-05 12:17:47.190
dbo,vm_mk_FutSuggest,2015-09-16 09:06:25.077,2015-09-16 09:06:25.077
dbo,vm_mk_Futurestock,2014-12-12 09:01:31.963,2022-08-08 07:50:05.547
dbo,vm_Mk_FuturestockKitnames,2016-09-05 12:38:26.087,2016-09-05 12:40:30.103
dbo,vm_mk_fw_label3,2014-03-07 08:37:55.420,2014-03-07 08:40:53.750
dbo,vm_mk_fwLAbelControl,2014-03-07 08:46:15.480,2014-03-07 08:46:15.480
dbo,vm_mk_fwlabelsused,2014-03-06 08:55:35.420,2014-03-06 08:55:35.420
dbo,vm_mk_Gl_Balances,2014-09-30 13:03:24.290,2014-09-30 13:03:24.290
