SchemaName,TableName,RowCount
dbo,icistih,16922
dbo,icistr,657
dbo,icistrh,141399
dbo,icisub,69
dbo,icitem,10676
dbo,icitem_bak_1111,6853
dbo,icitem_bak1009,6316
dbo,icitem_it_log,24
dbo,icitem_test1,6765
dbo,icitembak04022014,6513
dbo,icitemBU,4403
dbo,icitembu11Sep11,5268
dbo,icitembu26Oct11,5332
dbo,icitembu31Oct11,5343
dbo,icitembu6Jun14,6698
dbo,icitemcat,5097
dbo,icitemcatbu,5098
dbo,icitemh,5
dbo,icitemprice,189
dbo,icitemupdate,5267
dbo,icitemupdatebu,5268
dbo,icitrf,560
dbo,icitrfh,54969
dbo,icitsp,0
dbo,iciumk,0
dbo,iciups,0
dbo,iciwhs,101970
dbo,iciwhs_daily,129980593
dbo,iciwhs_monthly,15686562
dbo,iciwhsbackupfeb,75394
dbo,iciwhsqtys,252
dbo,iciwtf,48
dbo,iciwtfh,6834
dbo,icktrs,802131
dbo,icktsp,0
dbo,icpclg,29107
dbo,icpcnt,0
dbo,icpcsp,0
dbo,icspec,0
dbo,icspty,0
dbo,icsyst,1
dbo,ictbin,159
dbo,ictfsp,0
dbo,ictfsph,89746
dbo,ictrmk,0
dbo,ictrn,329
dbo,ictrsn,372435
dbo,ictrsnh,17549397
dbo,ictwhs,46
dbo,ictype,22
dbo,icunit,71
dbo,icupdate,108
dbo,icuprc,19171
dbo,icuprc_bak1411,28874
dbo,icuprc_newP,0
dbo,icuprcbu9July2013,17273
dbo,icvend,1429
dbo,icwbin,31
dbo,icwhse,21
dbo,icWSupdate,7227023
dbo,image,168
dbo,imp,214
dbo,imp1,4206
dbo,imp2,290
dbo,imp6,1870
dbo,InvoiceTracking,263852
dbo,invupd,8703
dbo,ISSUEBAL,5022
dbo,it,175
dbo,itemrcode,4908
dbo,iwpycd,22
dbo,iwuser,254
dbo,iwusrb,3240
dbo,iwusrp,3650
dbo,Jan,186
dbo,Janreb,7262
dbo,jr,124
dbo,jr1,166
dbo,jrsyst,1
dbo,July,190
dbo,June,199
dbo,June10Fcst,518
dbo,KPITarget,8
dbo,Letter1,626
dbo,Letter2,168
dbo,Level1,4072
dbo,Level1a,31368
dbo,Level2,31081
dbo,Level2a,31368
dbo,levels,233
dbo,log_events,0
dbo,logship,467
dbo,miboml,581
dbo,mifinh,370
dbo,mifinhh,7992
dbo,milabr,0
dbo,milnot,0
dbo,mimach,0
dbo,mimnot,0
dbo,misrmk,0
dbo,missing,3802
dbo,misyst,1
dbo,miurmk,0
dbo,miuxpl,0
dbo,miwips,778
dbo,miwipsh,15188
dbo,miword,72
dbo,miwordh,1179
dbo,miwrmk,68
dbo,miwtin,0
dbo,miwtrk,44
dbo,miwtrs,397
dbo,miwtrsh,7848
dbo,mk_MonthlyStructure,0
dbo,MLMCurr,49788
dbo,mlmcust,2999503
dbo,MLMHist,11466
dbo,MoDownliner,0
dbo,MoDownlinerV1,1077665
dbo,MoFwCostTemp,7
dbo,"MonthlyBusinessAllowance ",7
dbo,multiSO,93
